Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-lang,org.apache.commons.lang3.time,FastDateFormat,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FULL; LONG; MEDIUM; SHORT
commons-lang,org.apache.commons.lang3.time,TimeZones,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: GMT_ID; GMT
commons-lang,org.apache.commons.lang3.time,CalendarUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE
commons-lang,org.apache.commons.lang3.time,DateUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MILLIS_PER_SECOND; MILLIS_PER_MINUTE; MILLIS_PER_HOUR; MILLIS_PER_DAY; SEMI_MONTH; RANGE_WEEK_SUNDAY; RANGE_WEEK_MONDAY; RANGE_WEEK_RELATIVE; RANGE_WEEK_CENTER; RANGE_MONTH_SUNDAY; RANGE_MONTH_MONDAY
commons-lang,org.apache.commons.lang3.time,FastDatePrinter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FULL; LONG; MEDIUM; SHORT
commons-lang,org.apache.commons.lang3.time,DurationFormatUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ISO_EXTENDED_FORMAT_PATTERN
commons-lang,org.apache.commons.lang3.time,DateFormatUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ISO_8601_EXTENDED_DATETIME_FORMAT; ISO_DATETIME_FORMAT; ISO_8601_EXTENDED_DATETIME_TIME_ZONE_FORMAT; ISO_DATETIME_TIME_ZONE_FORMAT; ISO_8601_EXTENDED_DATE_FORMAT; ISO_DATE_FORMAT; ISO_DATE_TIME_ZONE_FORMAT; ISO_TIME_FORMAT; ISO_TIME_TIME_ZONE_FORMAT; ISO_8601_EXTENDED_TIME_FORMAT; ISO_TIME_NO_T_FORMAT; ISO_8601_EXTENDED_TIME_TIME_ZONE_FORMAT; ISO_TIME_NO_T_TIME_ZONE_FORMAT; SMTP_DATETIME_FORMAT
commons-lang,org.apache.commons.lang3.concurrent,TimedSemaphore,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NO_LIMIT
commons-lang,org.apache.commons.lang3.concurrent,BasicThreadFactory.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.concurrent,AbstractCircuitBreaker,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROPERTY_NAME
commons-lang,org.apache.commons.lang3.concurrent,MultiBackgroundInitializer.MultiBackgroundInitializerResults,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.concurrent.locks,LockingVisitors.LockVisitor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.concurrent.locks,LockingVisitors.ReadWriteLockVisitor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.concurrent.locks,LockingVisitors.StampedLockVisitor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
